="",="Heterogeneity",="",="",=""
="",="(1)",="(2)",="(3)",="(4)"
="",="SD turnout (전구간: 9702/0207/0712/1217/1722)",="SD conserv1_p (전구간: 9702/0207/0712/1217/1722)",="SD turnout (전구간: 9702/0207/0712/1217/1722)",="SD conserv1_p (전구간: 9702/0207/0712/1217/1722)"
="Bartik X SD (manufacturing, empbase=2005)",="0.013**",="-0.025**",="0.050",="-0.107"
="",="(0.006)",="(0.012)",="(0.070)",="(0.161)"
="year==2002",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year==2007",="0.108***",="-0.047",="-0.066",="0.284"
="",="(0.020)",="(0.048)",="(0.290)",="(0.628)"
="year==2012",="-0.081*",="-0.012",="-0.196",="0.253"
="",="(0.044)",="(0.087)",="(0.318)",="(0.701)"
="year==2017",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year==2022",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="share of population aged 65 and above",="0.774***",="-0.074",="-1.224",="3.449"
="",="(0.292)",="(0.574)",="(3.462)",="(7.469)"
="share of college-educated",="-0.335",="2.612***",="-1.252",="4.327*"
="",="(0.283)",="(0.699)",="(1.173)",="(2.587)"
="N",="342",="342",="339",="339"
="r2",="0.073",="0.400",="-10.246",="-9.723"
="cdf",="5.530",="5.530",="0.220",="0.220"
="widstat",="3.545",="3.545",="0.416",="0.416"
="arf",="28.300",="11.622",="11.183",="14.226"
="arfp",="0.000",="0.001",="0.001",="0.000"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="",="Heterogeneity",="",="",=""
="",="(1)",="(2)",="(3)",="(4)"
="",="SD turnout (전구간: 9702/0207/0712/1217/1722)",="SD conserv1_p (전구간: 9702/0207/0712/1217/1722)",="SD turnout (전구간: 9702/0207/0712/1217/1722)",="SD conserv1_p (전구간: 9702/0207/0712/1217/1722)"
="Bartik X SD (manufacturing, empbase=2005)",="0.027",="-0.057",="0.065",="-0.168"
="",="(0.026)",="(0.052)",="(0.091)",="(0.256)"
="year==2002",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year==2007",="0.039",="0.066",="0.050",="0.024"
="",="(0.119)",="(0.243)",="(0.045)",="(0.116)"
="year==2012",="-0.247",="0.331",="-0.079",="0.029"
="",="(0.266)",="(0.539)",="(0.085)",="(0.233)"
="year==2017",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year==2022",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="share of population aged 65 and above",="0.021",="1.012",="0.154",="0.264"
="",="(1.222)",="(2.465)",="(0.569)",="(1.421)"
="share of college-educated",="-0.572",="2.608*",="-0.948**",="3.975***"
="",="(0.699)",="(1.462)",="(0.399)",="(1.017)"
="N",="342",="342",="339",="339"
="r2",="-3.712",="-3.630",="-0.676",="-0.824"
="cdf",="0.920",="0.920",="2.008",="2.008"
="widstat",="0.896",="0.896",="0.436",="0.436"
="arf",="26.062",="14.875",="8.405",="7.973"
="arfp",="0.000",="0.000",="0.005",="0.006"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
