="",="Main2",="",="",=""
="",="(1)",="(2)",="(3)",="(4)"
="",="SD turnout (전구간: 9702/0207/0712/1217/1722)",="SD conserv1_p (전구간: 9702/0207/0712/1217/1722)",="SD turnout (전구간: 9702/0207/0712/1217/1722)",="SD conserv1_p (전구간: 9702/0207/0712/1217/1722)"
="Bartik X SD (manufacturing, empbase=2005)",="0.015**",="-0.032**",="0.023",="-0.041"
="",="(0.007)",="(0.015)",="(0.024)",="(0.043)"
="year==2002",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year==2007",="0.072***",="0.013",="0.060",="0.030"
="",="(0.026)",="(0.053)",="(0.097)",="(0.177)"
="year==2012",="-0.083*",="0.008",="-0.137",="0.062"
="",="(0.043)",="(0.085)",="(0.172)",="(0.313)"
="year==2017",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year==2022",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="share of population aged 65 and above",="0.369",="0.413",="-0.361",="1.691"
="",="(0.297)",="(0.601)",="(1.016)",="(1.843)"
="share of college-educated",="-0.604***",="3.075***",="-0.496",="3.149***"
="",="(0.223)",="(0.505)",="(0.564)",="(1.110)"
="N",="681",="681",="405",="405"
="r2",="-0.323",="-0.004",="-1.485",="-0.314"
="cdf",="5.919",="5.919",="0.749",="0.749"
="widstat",="3.795",="3.795",="0.780",="0.780"
="arf",="43.959",="22.951",="16.747",="9.665"
="arfp",="0.000",="0.000",="0.000",="0.002"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
